,MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
6051,Parrot Heads,(2017),"
Documentary, Music            ",6.5,"
An in depth look at the world of Parrot Heads, the loyal fan base of Jimmy Buffett.","
    Director:
Bryce Wagoner
|
    Stars:
Jimmy Buffett,
Matt Corcoran,
Stephen L.J. Hoffman,
Michael Holly
",65,88.0,
7260, Power Rangers Beast Morphers,(2019–2020),"
Action, Adventure, Drama            ",8.6,"
When Nate and Steel unexpectedly clash, it leads to double trouble for the team.","
    Director:
Riccardo Pellizzeri
|
    Stars:
Rorrie D. Travis,
Jasmeet Baduwalia,
Jacqueline Scislowski,
Abraham Rodriguez
",32,,
9578, The Drew Barrymore Show,(2020– ),"
Talk-Show            ",,"
Daddy Issues with Joe Buck and Oliver Hudson host, Oliver Hudson, will stops by to be chat. Then The United States vs. Billie Holiday (2021) star Evan Ross and his wife musician Ashlee ...                See full summary »
","
    Director:
Adam Heydt
|
    Stars:
Drew Barrymore,
Ross Mathews,
Oliver Hudson,
Ashlee Simpson
",,44.0,
5857,Zhong ji san guo,(2009–2010),"
Comedy            ",5.3,"
Lifelong friends, Guan Yu (George Hu) and Zhang Fei (David Bo-Yen Lin), who have gotten kicked out of one school after another for starting fights, find themselves hard pressed to find a ...                See full summary »
","

    Stars:
Monkey Shao,
George Hu,
Jiro Wang,
Shu Chen
",44,75.0,
3489,Johan Falk: Blodsdiamanter,(2015 Video),"
Action, Crime, Thriller            ",7.1,"
GSI (Group of Special Investigations) investigates a weapon deal made by the mafia. GSI sends in an undercover agent to investigate what the mafia is up to. At the same time Johan Falk confronts a mysterious woman who threatens his family.","
    Director:
Peter Lindmark
|
    Stars:
Jakob Eklund,
Jens Hultén,
Alexander Karim,
Christian Svensson
","1,751",99.0,
4620,Lego Bionicle: The Journey to One,(2016),"
Animation, Action, Adventure            ",5.5,"
Six heroes, the Toa, fight against the evil Makuta's forces which are threatening the beautiful island of Okoto.","

    Stars:
William Jordan,
Nolan Balzer,
Paolo Bryant,
Jacqui Fox
",157,22.0,
4468,Emicida: AmarElo - Ao Vivo,(2021),"
Music            ",6.5,"
Brazilian rapper Emicida brings his progressive rhymes and eclectic beats to São Paulo's Theatro Municipal as he performs hits from the album ""AmarElo.""","
    Director:
Fred Ouro Preto
|
    Star:
Emicida
",22,99.0,
4813,Los Herederos,(2015),"
Drama            ",5.7,"
Teenagers' leisure at full swing: a group of friends spend their holidays at parties, having sex, boozing, and partaking in any adventure that brings them a boost of adrenaline. As they use...                See full summary »
","
    Director:
Jorge Hernandez Aldana
|
    Stars:
Máximo Hollander,
Sebastián Aguirre,
Úrsula Pruneda,
Rodrigo Mendoza
",205,,
3563,All About The Washingtons,(2018),"
Comedy, Music            ",4.5,"
The wife of a legendary rapper launches her own career, which puts his life into a tailspin.","

    Stars:
Joseph Simmons,
Justine Simmons,
Kiana Ledé,
Nathan Anderson
",653,25.0,
4547,Robozuna,(2018– ),"
Animation            ",6.3,"
An orphan boy and his homemade robot friend work to free their country from an evil empire and its legion of robots.","

    Stars:
Michael Obiora,
Tom Clarke Hill,
Taylor Clarke-Hill,
Luke Howard
",80,22.0,
2978,Pretty Smart,,"
Comedy            ",,"
A self-proclaimed intellectual, forced to move in with her carefree sister and her sister's lovably eccentric friends.","

    Stars:
Cinthya Carmona,
Olivia Macklin,
Emily Osment,
Michael Hsu Rosen
",,,
4833,Charlie and the Chocolate Factory,,"
Animation, Adventure, Comedy            ",,"
Animated series based on Roald Dahl's classic tale of a boy trying to win a magical ticket to visit his favorite candy factory.","
",,,
9236, Bir Baskadir,(2020– ),"
Drama, Thriller            ",8.1,"
Ruhiye's condition deteriorates under Yasin's maltreatment. Peri crosses paths with Melisa. Meryem broaches a sensitive subject with Peri.","
    Director:
Berkun Oya
|
    Stars:
Öykü Karayel,
Fatih Artman,
Funda Eryigit,
Defne Kayalar
",635,47.0,
3716,Einsatzgruppen: The Nazi Death Squads,(2009),"
Documentary, History, War            ",7.6,"
Testimony from witnesses, survivors and Nazis themselves reveals the truth about the mass executions carried out by the Third Reich's Einsatzgruppen.","

    Stars:
Christopher Browning,
Christian Ingrao,
Paul Bandey,
Regina Jablonska
",544,45.0,
8064, The Boondocks,(2005–2014),"
Animation, Action, Comedy            ",7.7,"
A bully steals the chain that signifies Riley's membership in Thugnificent's crew, prompting various attempts by Riley to get it back.","
    Director:
Dan Fausett
|
    Stars:
Regina King,
John Witherspoon,
Cedric Yarbrough,
Gary Anthony Williams
",207,23.0,
753,CHIPS,(2017),"
Action, Comedy, Crime            ",6.0,"
A rookie officer is teamed with a hardened pro at the California Highway Patrol, though the newbie soon learns his partner is really an undercover Fed investigating a heist that may involve some crooked cops.","
    Director:
Dax Shepard
|
    Stars:
Michael Peña,
Dax Shepard,
Vincent D'Onofrio,
Rosa Salazar
","44,487",100.0,$18.60M
8801, Cyberpunk: Edgerunners,(2022– ),"
Animation, Action, Adventure            ",,"
Add a Plot
","
",,,
6029,Liss Pereira: Reteniendo Liquidos,(2019 TV Special),"
Comedy            ",6.4,"
Stand up comedy from the Colombian Liss Pereira, about the truths of sex, love, attraction and lies of modern relationships.","

    Star:
Liss Pereira
",86,,
7823, Inventing Anna,(2021– ),"
Drama            ",,"
Add a Plot
","
    Directors:
David Frankel,
Tom Verica
|
    Stars:
Laverne Cox,
Julia Garner,
Anna Chlumsky,
Tim Guinee
",,,
2690,Ninguém Tá Olhando,(2019),"
Comedy, Drama, Fantasy            ",7.8,"
Guardian angel Uli is new to the Angelus System. A rebel spirit, he makes shocking discoveries about life and how the world is run when he goes rogue.","

    Stars:
Victor Lamoglia,
Júlia Rabello,
Kéfera Buchmann,
Augusto Madeira
","1,590",,
9691, I [Heart] Arlo,(2021– ),"
Animation, Short, Adventure            ",,"
Add a Plot
","

    Star:
Michael J. Woodard
",,,
5678,Lucas Brothers: On Drugs,(2017 TV Special),"
Comedy            ",5.6,"
Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs, race, Deion Sanders, teachers and O.J. Simpson.","
    Director:
Jay Chapman
|
    Stars:
Keith Lucas,
Kenneth Lucas
",806,50.0,
4060,La Tarotista,(2021),"
Short, Comedy, Talk-Show            ",7.6,"
Add a Plot
","
    Director:
Martina Hache
|
    Stars:
Yolanda Ramos,
Omar Ayuso,
Martina Cariddi,
Mario Casas
",12,,
4952,Hallo Bungalow,(2015),"
Comedy            ",4.9,"
In park ""De Lusthove"" there are three women who are leading a boring life. They decide to blackmail their boss so that they will get money to start a new life. Their boss however hires two killers. The women will have to fight to survive.","
    Director:
Anne de Clercq
|
    Stars:
Huub Smit,
Jennifer Hoffman,
Eva van der Gucht,
Lies Visschedijk
",289,91.0,
4669,Assassin's Creed,,"
Action, Adventure, Drama            ",,"
Plot Under Wraps.","
",,,
3224,44 Gatti,(2018– ),"
Animation, Adventure, Comedy            ",6.1,"
44 Cats is a preschool comedy series that follows the daily adventures of four cats named Lampo, Milady, Pilou, and Meatball. All of them are part of a music band called 'The Buffycats'.","

    Stars:
Judith Cabral,
Sarah Natochenny,
Keira Johnson,
Joy Salaretti
",238,13.0,
3206,7 años,(2016),"
Drama            ",6.8,"
Four friends face an agonizing decision. One must go to prison. The other three must make the sacrifice worthwhile.","
    Director:
Roger Gual
|
    Stars:
Juana Acosta,
Alex Brendemühl,
Paco León,
Manuel Morón
","4,660",77.0,
2347,Rebel Moon,,"
Adventure, Drama, Fantasy            ",,"
The people of a galaxy sends a young woman to seek out warriors from other planets to help them from the tyrannical armies that are terrorizing their peaceful colony.","
    Director:
Zack Snyder
",,,
4239,ReMastered: The Two Killings of Sam Cooke,(2019 TV Movie),"
Documentary, Music            ",7.3,"
An investigation into the circumstances and controversy surrounding Sam Cooke's murder.","
    Director:
Kelly Duane
|
    Stars:
Sam Cooke,
Quincy Jones,
Smokey Robinson,
Dionne Warwick
","2,041",74.0,
