,MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
2882,Nieve negra,(2017),"
Crime, Drama, Mystery            ",6.2,"
Accused of killing his brother during adolescence, Salvador lives alone in the middle of Patagonia. Several decades later, his brother Marcos and his sister-in-law Laura, come to convince him to sell the lands they share by inheritance.","
    Director:
Martín Hodara
| 
    Stars:
Leonardo Sbaraglia, 
Laia Costa, 
Ricardo Darín, 
Federico Luppi
","5,553",90.0,
3441,Munafik 2,(2018),"
Horror            ",6.1,"
Haunted by terrifying visions, a Muslim healer finds his faith tested when he helps a woman locked in battle, body and soul, with a diabolical leader.","
    Director:
Syamsul Yusof
| 
    Stars:
Syamsul Yusof, 
Maya Karin, 
Nasir Bilal Khan, 
Fizz Fairuz
","1,572",104.0,
4181,The Director: An Evolution in Three Acts,(2013),"
Documentary            ",6.2,"
A look at the life and work of Gucci fashion designer, Frida Giannini.","
    Director:
Christina Voros
| 
    Stars:
Frida Giannini, 
Matvey Lykov
",213,85.0,
1650,Luna Nera,(2020– ),"
Drama, Fantasy, Thriller            ",5.6,"
A group of women are suspected of witchcraft in 17th century Italy.","
            
    Stars:
Antonia Fotaras, 
Giorgio Belli, 
Gloria Carovana, 
Giandomenico Cupaiuolo
","2,533",43.0,
1056,Tall Girl,(2019),"
Comedy, Drama, Family            ",5.2,"
Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall.","
    Director:
Nzingha Stewart
| 
    Stars:
Ava Michelle, 
Griffin Gluck, 
Sabrina Carpenter, 
Paris Berelc
","19,380",101.0,
2146,Revenger,(2018),"
Action, Crime, Thriller            ",5.7,"
A former police investigator decides to go to a prison island to revenge the brutal killings of his family.","
    Director:
Seung-Won Lee
| 
    Stars:
Je-Heon Choi, 
Makayla Rose Hilli, 
Kim In-kwon, 
SooJin Jeong
","3,950",101.0,
3054,Santana,(2020),"
Action, Crime, Drama            ",3.8,"
Two cops, two brothers. One is out for justice, the other revenge. They may kill each other before capturing the bad guys.","
    Directors:
Maradona Dias Dos Santos, 
Chris Roland
| 
    Stars:
Paulo Americano, 
Dalton Borralho, 
Terence Bridgett, 
Amanda Brown
",876,106.0,
5253,Mulligan,,"
Animation, Comedy, Sci-Fi            ",,"
Plot unknown.","
",,,
6123,The F-U,,"
Action            ",,"
Add a Plot
","
",,,
1350,My Amanda,(2021),"
Drama, Romance            ",5.7,"
Two unusually close friends share every aspect of their lives together. As their lives evolve, their bond remains the only constant.","
    Director:
Alessandra de Rossi
| 
    Stars:
Alessandra de Rossi, 
Piolo Pascual
",214,89.0,
4831,Iceberg Slim: Portrait of a Pimp,(2012),"
Documentary, Biography            ",6.8,"
Examines the tumultuous life of legendary Chicago pimp Iceberg Slim (1918-1992) and how he reinvented himself from pimp to author of 7 groundbreaking books. These books were the birth of ...                See full summary »
","
    Director:
Jorge Hinojosa
| 
    Stars:
Betty Beck, 
Camille Beck, 
Diane Beck, 
Misty Beck
",669,89.0,
4375,Black Site Delta,(2017),"
Action            ",3.8,"
A group of military prisoners must fight off a terrorist attack on their prison which, unbeknownst to them, is a cover for a secret drone control facility.","
    Director:
Jesse Gustafson
| 
    Stars:
Cam Gigandet, 
Teri Reeves, 
Benjamin Charles Watson, 
Sherri Eakin
",995,87.0,
1233,Toradora!,(2008–2009),"
Animation, Comedy, Drama            ",8.0,"
Ryuji Takasu lives in a falling down house with his mother, and although being a nice guy is cursed with the evil look of his father causing people to avoid him. Taiga Aisaka is a tiny,self...                See full summary »
","
            
    Stars:
Rie Kugimiya, 
Junji Majima, 
Yui Horie, 
Hirofumi Nojima
","12,030",24.0,
5214,Delitto a Porta Romana,(1980),"
Comedy, Crime            ",6.3,"
A police inspector is called to Milan to investigate a murder case since he grew up in the same ghetto as the suspect.","
    Director:
Bruno Corbucci
| 
    Stars:
Tomas Milian, 
Bombolo, 
Olimpia Di Nardo, 
Nerina Montagnani
",300,92.0,
4757,Jimmy Carr: The Best of Ultimate Gold Greatest Hits,(2019 TV Special),"
Comedy            ",7.3,"
Nothing is off limits as Jimmy Carr serves up the best jokes from his storied stand-up career in a special that's as inappropriate as it is hilarious.","
    Director:
Brian Klein
| 
    Star:
Jimmy Carr
","1,753",58.0,
4594,Criminals: Caught on Camera,(2013–2015),"
Documentary, Crime            ",6.8,"
UK is the most surveilled place in the world. It is home to more than 6 million CCTV cameras -- about 1 for every 14 people -- that operate 24/7 and generate more than 1 billion hours of ...                See full summary »
","
            
    Stars:
Nick Wallis, 
Callum Roy, 
Viv Brownley, 
Andy Stocker
",44,,
6027,Croaker,(2013),"
Horror            ",7.1,"
Florian Sirko and his one-time love, Macy Patterson face a problem. A curse was originally cast from the attack of Haidamark Cossacks on Nemirov Poland, 1648, spawning a mythological ...                See full summary »
","
    Director:
Fred Terling
| 
    Stars:
Martin Patterson, 
Valerie Gatto, 
Ron Russell, 
Ben Grance
",68,71.0,
3449,SSSS.Gridman,(2018),"
Animation, Action, Adventure            ",7.1,"
A being calling itself ""Hyper Agent Gridman"" contacts high schooler Yuta through an old computer, recruiting him in the fight against impending terror.","
            
    Stars:
Greg Ayres, 
Jill Harris, 
Yuya Hirose, 
Tetsu Inada
",550,23.0,
1802,Beverly Hills Cop 4,,"
Action, Comedy, Crime            ",,"
The plot is unknown.","
    Directors:
Adil El Arbi, 
Bilall Fallah
| 
    Star:
Eddie Murphy
",,,
1844,Kekkai Sensen,(2015–2017),"
Animation, Action, Adventure            ",7.3,"
In a city where the paranormal and ordinary co-exist, the Libra organization battles to ensure peace and order.","
            
    Stars:
Daisuke Sakaguchi, 
Kazuya Nakai, 
Aaron Dismuke, 
Phil Parsons
","1,784",24.0,
2588,Sundown,(II) (2016),"
Action, Adventure, Comedy            ",5.4,"
High school seniors Logan and Blake prepare for an epic Spring Break as they travel to the beautiful and exotic Mexican beach resort of Puerto Vallarta hoping to hook up with their high school crushes.","
    Director:
Fernando Lebrija
| 
    Stars:
Devon Werkheiser, 
Sean Marquette, 
Silverio Palacios, 
Camilla Belle
","2,278",103.0,
6223,The Crown: The Official Podcast,(2019– ),,,"
Hosted by Edith Bowman, the podcast follows the show episode by episode, diving deep into the stories and taking listeners behind the scenes with insights from many of the people involved in making the show.","
            
    Star:
Edith Bowman
",,,
6127,Mohtaram Ella Robaa,(2012),,3.0,"
Add a Plot
","
    Director:
Mohamed Hamdy
| 
    Stars:
Lamitta Frangieh, 
Mimi Gamal, 
Rania Mallah, 
Mohsen Mansour
",31,96.0,
5298,Harry & Bunnie,(2016– ),"
Animation, Adventure, Comedy            ",4.0,"
Meet Harry, a boy who dreams of becoming a great magician. However, his obnoxious rabbit named Bunnie stole his magic wand and constantly humiliated him. They start a rivalry.","
            
    Stars:
Yvonne Chong, 
Hashir Haizal Hailmi, 
Michelle Kay
",35,21.0,
870,Kaze no tani no Naushika,(1984),"
Animation, Adventure, Fantasy            ",8.1,"
Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.","
    Director:
Hayao Miyazaki
| 
    Stars:
Sumi Shimamoto, 
Mahito Tsujimura, 
Hisako Kyôda, 
Gorô Naya
","157,520",117.0,$0.50M
9303, How to Ruin Christmas: The Wedding,(2020– ),"
Comedy, Drama            ",7.2,"
Add a Plot
","
    Director:
Johnny Barbuzano
| 
    Stars:
Busise Lurayi, 
Thando Thabethe, 
Yonda Thomas, 
Nambitha Ben-Mazwi
",15,,
9744, The Cuphead Show!,(2021– ),"
Animation, Action, Adventure            ",,"
Add a Plot
","
            
    Stars:
Tru Valentino, 
Frank Todaro
",,,
1176,The Discovery,(I) (2017),"
Drama, Romance, Sci-Fi            ",6.3,"
Two years after the afterlife is scientifically proven, a man attempts to help a young woman break away from her dark past.","
    Director:
Charlie McDowell
| 
    Stars:
Robert Redford, 
Mary Steenburgen, 
Brian McCarthy, 
Jason Segel
","31,299",102.0,
6986, La Reina de Indias y el Conquistador,(2020– ),"
Drama, History            ",,"
When the governor orders Catalina's return to Nicuesa, Father Bartolomé and Catalina appear before the government official to plead their case.","
            
    Stars:
Emmanuel Esparza, 
Essined Aponte, 
Manuel Navarro, 
Álvaro Benet
",,,
5383,Ghesh Al Zawgeyya,(2012),"
Comedy, Drama, Romance            ",4.7,"
Businessman Badran Kamel is exposed to a financial crisis and agrees with his son Hazem, the spoiled young man known for his multiple female relationships, to marry Salma, the football ...                See full summary »
","
    Director:
Ahmad El-Badri
| 
    Stars:
Aimi Samir Ghanem, 
Hasan Husni, 
Idward, 
Sameh Abul-Ghar
",256,109.0,
2566,Chemi Bednieri Ojakhi,(2017),"
Drama            ",7.4,"
In a patriarchal society, an ordinary Georgian family lives with three generations under one roof. All are shocked when 52-year-old Manana decides to move out from her parents' home and ...                See full summary »
","
    Directors:
Nana Ekvtimishvili, 
Simon Groß
| 
    Stars:
Ia Shugliashvili, 
Merab Ninidze, 
Berta Khapava, 
Tsisia Qumsishvili
","3,482",120.0,
3719,Hulk: Where Monsters Dwell,(2016 Video),"
Animation, Action, Fantasy            ",5.4,"
Doctor Strange and a team of monsters must help the Hulk overcome his dream self in order to defeat Nightmare on Halloween night.","
    Directors:
Eric Radomski, 
Mitch Schauer
| 
    Stars:
Fred Tatasciore, 
Liam O'Brien, 
Jesse Burch, 
Edward Bosco
","1,030",75.0,
2434,Craig Ross Jr.'s Monogamy,(2018– ),"
Drama            ",7.2,"
Four couples from all over the country travel to Los Angeles to undergo a new type of treatment called Swap Therapy to repair their broken marriages.","
            
    Stars:
Jill Marie Jones, 
Vanessa Simmons, 
Darius McCrary, 
Caryn Ward
",321,30.0,
9038, Mighty Little Bheem,(2019– ),"
Animation, Short, Adventure            ",,"
Add a Plot
","
",,,
1812,El árbol de la sangre,(2018),"
Drama            ",6.4,"
Rebeca and Marc make a travel to discover their mutual family pasts in Rebeca's grandparents house.","
    Director:
Julio Medem
| 
    Stars:
Álvaro Cervantes, 
Úrsula Corberó, 
Patricia López Arnaiz, 
Joaquín Furriel
","2,665",130.0,
8022, Astronomy Club,(2019),"
Comedy            ",6.8,"
Add a Plot
","
    Directors:
J.J. Adler, 
Ryan Anthony Martin
| 
    Stars:
Jonathan Braylock, 
Ray Cordova, 
Katierose Donohue Enriquez, 
Jon Gabrus
",30,,
1443,World Without End,(2012),"
Drama, History, Romance            ",7.0,"
The English town of Kingsbridge works to survive as the King leads the nation into the Hundred Years' War with France while Europe deals with the outbreak of the Black Death.","
            
    Stars:
Ben Chaplin, 
Charlotte Riley, 
Nora von Waldstätten, 
Oliver Jackson-Cohen
","8,271",374.0,
3760,Saving Capitalism,(2017),"
Documentary            ",6.8,"
SAVING CAPITALISM is a documentary film that follows former Secretary of Labor and Professor, Robert Reich, as he takes his book and his views to the heart of conservative America to speak ...                See full summary »
","
    Directors:
Jacob Kornbluth, 
Sari Gilman
| 
    Stars:
Robert Reich, 
Darvin Bentlage, 
Annie Presley, 
Guadalupe
","2,922",73.0,
423,Eurovision Song Contest: The Story of Fire Saga,(2020),"
Comedy, Music            ",6.5,"
When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.","
    Director:
David Dobkin
| 
    Stars:
Will Ferrell, 
Rachel McAdams, 
Dan Stevens, 
Mikael Persbrandt
","84,242",123.0,
7913, Lucifer,(2016–2021),"
Crime, Drama, Fantasy            ",9.4,"
Chloe learns a serial killer may have embellished his crimes. Amenadiel worries about his son's health. Pete opens up to Ella.","
    Director:
Kevin Alejandro
| 
    Stars:
Tom Ellis, 
Lauren German, 
Kevin Alejandro, 
D.B. Woodside
","4,612",61.0,
8036, La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",8.2,"
The group reels following the attack on one of their own. The Professor puts his adjusted plan in motion with the help of new recruits and Palermo.","
    Director:
Koldo Serra
| 
    Stars:
Úrsula Corberó, 
Álvaro Morte, 
Itziar Ituño, 
Pedro Alonso
","5,896",52.0,
2449,"Michael Bolton's Big, Sexy Valentine's Day Special",(2017 TV Special),"
Comedy, Music, Musical            ",6.7,"
After Santa tells Michael Bolton that he needs 75,000 new babies by Christmas to meet toy supply, Michael Bolton hosts a sexy telethon to get the world to start making love.","
    Directors:
Scott Aukerman, 
Akiva Schaffer
| 
    Stars:
Michael Bolton, 
Sarah Shahi, 
Adam Scott, 
Matthew Kimbrough
","1,993",54.0,
1463,Carmen Sandiego,(2019–2021),"
Animation, Action, Adventure            ",7.9,"
The adventures of Carmen Sandiego, a globe-hopping master thief.","
            
    Stars:
Finn Wolfhard, 
Gina Rodriguez, 
Liam O'Brien, 
Abby Trott
","4,796",22.0,
5852,Nuestra Lucha Libre,(2018),"
Documentary            ",7.5,"
The daily lives of prominent and revered wrestlers offer us an insight into the characters beneath the masks.","
            
    Stars:
Negro Casas, 
Atlantis, 
Ultimo Guerrero, 
Shigeo Okumura
",29,28.0,
1343,John Dies at the End,(2012),"
Comedy, Fantasy, Horror            ",6.4,"
A new street drug that sends its users across time and dimensions has one drawback: some people return no longer human. Can two college drop-outs save humanity from this silent, otherworldly invasion?","
    Director:
Don Coscarelli
| 
    Stars:
Chase Williamson, 
Rob Mayes, 
Paul Giamatti, 
Clancy Brown
","37,007",99.0,$0.14M
1435,The Last Czars,(2019),"
Documentary, Drama, History            ",7.3,"
A Chronicled look at the fall of the Romanov dynasty in Russia.","
            
    Stars:
Robert Jack, 
Susanna Herbert, 
Ben Cartwright, 
Oliver Dimsdale
","6,983",45.0,
3166,Mytho,(2019),"
Drama            ",6.8,"
Desperate to get her family attention, an overworked mother, lie to them about her condition.","
            
    Stars:
Marina Hands, 
Mathieu Demy, 
Marie Drion, 
Jérémy Gillet
",844,,
5210,The King of the Streets,(2012),"
Action            ",5.0,"
Killing a competitor in a brutal street fight, Yue Feng is sent to prison for eight years. Upon his release, Yue works to fit back into society. But his dark past makes redemption a difficult, and possibly violent, road.","
    Directors:
Zhong Lei, 
Yue Song
| 
    Stars:
Kang En, 
Yang JunPing, 
Becki Li, 
Chang-Hai Li
",434,88.0,
247,Hagane no renkinjutsushi,(2009–2012),"
Animation, Action, Adventure            ",9.1,"
Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.","
            
    Stars:
Kent Williams, 
Iemasa Kayumi, 
Vic Mignogna, 
Romi Pak
","134,855",24.0,
1367,El caso Wanninkhof-Carabantes,(2021),"
Documentary, Crime, History            ",6.5,"
In 1999, teen Rocío Wanninkhof is murdered. Her mother's ex-partner, Dolores Vázquez, is suspected. Did she do it? A second victim reveals the truth.","
    Director:
Tània Balló
","1,357",88.0,
8532, Too Hot to Handle,(2020– ),"
Game-Show, Reality-TV, Romance            ",4.8,"
A season of slip-ups comes to a close as Lana reveals some final twists, the couples address their post-retreat plans, and the prize money is awarded.","
            
    Stars:
Bryce Hirschberg, 
Chloe Veitch, 
David Birtwistle, 
Francesca Farago
",269,43.0,
9807, Katla,(2021– ),"
Drama, Mystery, Sci-Fi            ",7.1,"
The cold, cruel reality of life in Vík í Mýrdal comes home to Gríma. Darri studies his strange discovery in secret. Gunhild confronts the newcomer.","
    Director:
Baltasar Kormákur
| 
    Stars:
Guðrún Ýr Eyfjörð, 
Íris Tanja Flygenring, 
Ingvar Sigurdsson, 
Aliette Opheim
",325,51.0,
1794,Paddleton,(2019),"
Comedy, Drama            ",7.2,"
An unlikely friendship between two misfit neighbors becomes an unexpectedly emotional journey when the younger man is diagnosed with terminal cancer.","
    Director:
Alex Lehmann
| 
    Stars:
Christine Woods, 
Mark Duplass, 
Ray Romano, 
Jen Sung
","12,331",89.0,
